name,slug,file,aliases,city,w,h
Maize South,maize-south,maize-south.png,Maize S,Wichita,400,400
Manhattan,manhattan,manhattan.png,,Manhattan,400,400
Maranatha Christian,maranatha-christian,,,Shawnee,400,400
Marion,marion,marion.png,,Marion,242,226
Marmaton Valley,marmaton-valley,marmaton-valley.png,,Moran,400,400
Marysville,marysville,marysville.png,,Marysville,260,260
Maur Hill - Mount Academy,maur-hill-mount-academy,,,Atchison,300,300
McPherson,mcpherson,mcpherson.png,,,200,150
Meade,meade,meade.png,,Meade,225,225
Medicine Lodge,medicine-lodge,,,Medicine Lodge,300,300
Mill Valley,mill-valley,mill-valley.png,,Shawnee,400,400
Minneapolis,minneapolis,minneapolis.png,,Minneapolis,200,200
Minneola,minneola,,,Minneola,300,300
Mission Valley,mission-valley,mission-valley.png,,Eskridge,185,185
Natoma,natoma,,,Natoma,300,300
Nemaha Central,nemaha-central,nemaha-central.png,,Seneca,400,400
Neodesha,neodesha,neodesha.png,,Neodesha,400,400
Newton,newton,newton.png,,Newton,150,173
Nickerson,nickerson,nickerson.png,,Nickerson,400,400
Northern Valley,northern-valley,,,Almena,300,300
Norton,norton,,,Norton,300,300
Oakley,oakley,oakley.png,,Oakley,89,84
Oberlin-Decatur,oberlin-decatur,,,Oberlin,94,85
Olathe East,olathe-east,olathe-east.png,,Olathe,300,275
Olathe North,olathe-north,olathe-north.png,,Olathe,400,400
Olathe South,olathe-south,olathe-south.png,,Olathe,250,250
Olpe,olpe,olpe.png,,Olpe,300,300
Onaga,onaga,onaga.png,,Onaga,400,400
Osage City,osage-city,osage-city.png,,Osage City,216,216
Osawatomie,osawatomie,osawatomie.png,,Osawatomie,300,211
Osborne,osborne,,,Osborne,300,300
Ottawa,ottawa,ottawa.png,,Ottawa,141,141
Oxford,oxford,oxford.png,,Oxford,299,299
Palco,palco,,,Palco,300,300
Paola,paola,paola.png,,Paola,100,100
Parsons,parsons,parsons.png,,Parsons,118,118
Pawnee Heights,pawnee-heights,pawnee-heights.png,,Rozel,400,400
Peabody-Burns,peabody-burns,,,Peabody,300,300
Perry-Lecompton,perry-lecompton,perry-lecompton.png,,Perry,400,400
Phillipsburg,phillipsburg,phillipsburg.png,,Phillipsburg,400,400
Plainville,plainville,plainville.png,,Plainville,379,384
Pleasant Ridge,pleasant-ridge,pleasant-ridge.png,,Easton,112,112
Pleasanton,pleasanton,,,Pleasanton,300,300
Prairie View,prairie-view,prairie-view.png,,Lacygne,106,109
